domain,value
business,4.08668132622145
business,3.58876833097969
business,4.08668132622145
business,4.08668132622145
business,3.94544327491787
business,3.33941553061753
business,3.86353777490682
business,3.43461765115381
business,4.08668132622145
business,4.08668132622145
business,4.08668132622145
business,4.08668132622145
business,2.99230483505646
business,4.08668132622145
business,4.08668132622145
business,3.94544327491787
business,3.72229972360317
business,4.08668132622145
business,4.08668132622145
business,4.08668132622145
business,3.74488063872805
business,3.62709760307019
business,4.08668132622145
business,3.72229972360317
business,3.94555133419042
business,4.08668132622145
business,3.62709760307019
general,3.72229972360317
general,3.81998485707783
general,3.74488063872805
general,3.730006382282
general,3.43461765115381
general,3.43461765115381
general,4.20780753938655
general,3.8400827592609
general,3.72229972360317
general,3.730006382282
general,4.16034934164928
general,4.12776483171214
general,3.58876833097969
general,3.49356621044681
general,3.62709760307019
general,3.72229972360317
general,3.72229972360317
general,3.53230278462531
general,3.33941553061753
general,3.94544327491787
general,3.33941553061753
general,3.58876833097969
general,4.20780753938655
general,3.94544327491787
general,4.04075345472325
general,3.58876833097969
general,3.72229972360317
general,3.72229972360317
general,3.72229972360317
general,3.33941553061753
general,3.49356621044681
general,3.86353777490682
general,3.72229972360317
general,3.72229972360317
general,3.58876833097969
general,3.730006382282
general,4.12776483171214
general,4.11227034057724
general,3.58876833097969
general,4.5177354486854
general,3.96923073644432
general,3.72229972360317
general,4.12776483171214
general,3.58876833097969
general,3.58876833097969
general,5.14058839285582
general,4.20758052038186
general,3.2799869075095
general,3.8400827592609
general,4.18507694782592
general,3.72229972360317
general,3.72229972360317
general,3.96193339651095
general,3.58876833097969
general,3.58876833097969
general,4.03256271117924
general,3.62709760307019
general,3.58876833097969
general,3.62709760307019
general,3.72229972360317
general,3.86353777490682
general,3.72229972360317
general,3.72229972360317
general,3.8400827592609
general,4.04075345472325
general,3.8400827592609
general,4.20758052038186
general,3.94544327491787
general,4.12776483171214
general,3.94555133419042
general,3.94544327491787
general,3.72229972360317
general,4.03256271117924
general,3.8400827592609
general,3.58876833097969
general,4.20780753938655
general,3.43461765115381
general,3.72229972360317
general,3.8400827592609
general,3.72229972360317
general,3.86353777490682
general,4.03256271117924
general,4.18507694782592
general,4.28191551153963
general,3.85024115438493
general,3.33941553061753
general,2.99230483505646
general,3.49356621044681
general,3.62709760307019
general,3.2799869075095
general,4.03256271117924
general,2.99230483505646
general,3.62709760307019
general,3.49356621044681
general,3.8400827592609
general,3.8400827592609
general,3.33941553061753
general,3.43461765115381
general,4.04075345472325
general,3.43461765115381
general,3.62709760307019
general,3.43461765115381
general,3.33941553061753
general,3.14645551488444
general,3.8400827592609
general,3.72229972360317
general,3.94544327491787
general,3.74488063872805
general,3.49356621044681
general,4.28191551153963
general,3.62709760307019
general,3.2799869075095
general,4.3054926728597
general,3.58876833097969
general,3.72229972360317
general,3.3977699431663
general,3.94555133419042
general,3.43461765115381
general,4.22544996518672
general,3.8400827592609
general,3.58876833097969
general,3.62709760307019
general,3.49356621044681
general,3.14645551488444
general,2.99230483505646
general,3.8400827592609
general,3.72229972360317
general,3.49356621044681
general,4.12776483171214
general,4.12776483171214
general,3.8400827592609
general,3.86353777490682
general,3.86353777490682
general,3.85024115438493
general,3.88847558409803
general,3.25229609435792
general,4.18199150602593
general,3.88912678926221
general,3.62709760307019
general,3.49356621044681
general,3.88912678926221
general,4.29459189737037
general,3.50313045882446
general,4.03256271117924
general,3.58876833097969
general,4.1126054188521
general,3.85024115438493
general,3.94555133419042
general,3.86353777490682
general,3.72229972360317
general,3.68545201561641
general,3.94555133419042
general,4.04075345472325
general,3.43461765115381
general,3.43461765115381
general,3.58876833097969
general,3.43461765115381
general,3.72229972360317
general,3.8400827592609
general,3.72229972360317
general,4.08668132622145
general,3.58876833097969
general,3.8400827592609
general,4.38086940544736
general,3.57585570245434
general,2.8099832782615
general,3.43461765115381
general,4.26900288301429
general,3.72229972360317
general,3.72229972360317
general,3.58876833097969
general,3.88847558409803
general,3.98132081056344
general,4.12776483171214
general,3.8400827592609
general,2.99230483505646
general,3.58876833097969
general,3.730006382282
general,3.62709760307019
general,3.94544327491787
general,3.94544327491787
general,2.99230483505646
general,3.8400827592609
general,4.20758052038186
general,3.15709397382499
general,3.86353777490682
general,4.43802781928682
general,3.8400827592609
general,3.72229972360317
general,3.14645551488444
general,3.2799869075095
general,3.72229972360317
general,3.72229972360317
general,3.2799869075095
general,4.04075345472325
general,3.72229972360317
general,3.72229972360317
general,3.2799869075095
general,3.72229972360317
general,3.72229972360317
general,3.72229972360317
general,3.2799869075095
general,3.72229972360317
general,3.2799869075095
general,3.72229972360317
general,3.62709760307019
general,3.72229972360317
general,4.12776483171214
general,3.72229972360317
general,3.76549472329033
general,3.59844063862906
general,3.62709760307019
general,3.2799869075095
general,3.58876833097969
general,3.62709760307019
general,3.2799869075095
general,3.2799869075095
general,3.72229972360317
general,3.2799869075095
general,4.04075345472325
general,3.72229972360317
general,3.2799869075095
general,3.8400827592609
general,3.72229972360317
general,3.2799869075095
general,3.72229972360317
general,3.2799869075095
general,3.72229972360317
general,3.2799869075095
general,3.2799869075095
general,4.18199150602593
general,3.72229972360317
general,3.72229972360317
general,3.94544327491787
general,3.72229972360317
general,3.2799869075095
general,3.3977699431663
general,3.72229972360317
general,4.12776483171214
general,3.72229972360317
general,3.2799869075095
general,3.2799869075095
general,3.72229972360317
general,3.72229972360317
general,3.2799869075095
general,5.40885237944705
general,3.72229972360317
general,3.72229972360317
general,3.72229972360317
general,3.50313045882446
general,3.72229972360317
general,3.2799869075095
general,3.72229972360317
general,3.72229972360317
general,3.2799869075095
general,4.04075345472325
general,3.2799869075095
general,3.72229972360317
general,3.49356621044681
general,4.00690982491905
general,4.20758052038186
general,3.94544327491787
general,3.72229972360317
general,3.8400827592609
general,3.62709760307019
general,3.2799869075095
general,3.72229972360317
general,3.72229972360317
general,3.72229972360317
general,3.2799869075095
general,4.42315356284195
general,3.72229972360317
general,3.72229972360317
general,4.04075345472325
general,3.72229972360317
general,3.72229972360317
general,3.94544327491787
general,3.2799869075095
general,3.8400827592609
general,4.12776483171214
general,3.72229972360317
general,3.72229972360317
general,3.2799869075095
general,3.2799869075095
general,3.72229972360317
general,3.2799869075095
general,3.72229972360317
general,3.59844063862906
general,3.72229972360317
general,3.62709760307019
general,3.72229972360317
general,3.72229972360317
general,3.72229972360317
general,3.72229972360317
general,3.2799869075095
general,3.72229972360317
general,2.99230483505646
general,3.58876833097969
general,3.72229972360317
general,3.8400827592609
general,3.72229972360317
general,3.50313045882446
general,2.99230483505646
general,3.3977699431663
general,3.43461765115381
general,3.33941553061753
general,4.04075345472325
general,3.43461765115381
general,3.33941553061753
general,3.72229972360317
general,3.74488063872805
general,3.49356621044681
general,3.72229972360317
general,3.33941553061753
general,3.94544327491787
general,3.33941553061753
general,3.62709760307019
general,2.99230483505646
general,3.58876833097969
general,3.43461765115381
general,3.8400827592609
general,3.62709760307019
general,4.08668132622145
general,3.85024115438493
general,3.49356621044681
general,2.99230483505646
general,3.74488063872805
general,3.2799869075095
general,3.72229972360317
general,2.99230483505646
general,3.58876833097969
general,3.72229972360317
general,3.72229972360317
