domain,value
business,2.235926
business,3
business,3.321928
business,3.121928
business,3.121928
business,3.121928
business,3.121928
business,2
business,1
business,3.169925
business,3.121928
business,3.121928
business,2.725481
business,3.121928
business,2.251629
business,3.121928
business,3.321928
business,2.251629
business,3.121928
business,2.846439
business,2.75
business,3.321928
business,3.321928
business,2.521641
business,2.725481
business,3.240224
business,3.321928
business,2.947703
business,3.321928
business,3.321928
business,2.947703
business,3.121928
business,1.459148
business,3.121928
business,2.503258
business,3.169925
business,3.321928
business,3.121928
business,2.947703
business,2.584963
business,3.121928
business,3.121928
business,2.251629
business,3.121928
business,3.121928
business,1.918296
business,2
business,3.321928
business,2.584963
business,3.121928
business,3.321928
business,3.121928
business,2.75
business,2.5
business,3.121928
business,3.121928
business,3.121928
business,3.121928
business,3.121928
business,3.121928
business,3.121928
business,2.251629
business,3.121928
business,2.521641
business,3.121928
business,3.321928
business,3.121928
business,3.321928
business,3.121928
business,3.121928
business,2.521641
business,3.121928
business,2.584963
business,2.155639
business,1.584963
business,3.121928
business,2.584963
business,3.121928
business,1.792481
business,3.121928
business,2.235926
business,2.584963
business,3.121928
business,2.5
business,3.121928
business,2.5
business,2.584963
business,3.121928
business,3.121928
business,2.521641
business,3.121928
business,3.321928
business,3.121928
business,3.121928
business,2.584963
business,3.121928
business,3.121928
business,3.121928
business,3.121928
business,3.121928
business,3.121928
business,2.75
business,3.121928
business,3.121928
business,3.321928
business,3.121928
business,2.5
business,3.321928
business,1.918296
business,3.121928
business,3.121928
business,3.121928
business,3.321928
business,2.251629
business,3.121928
business,3.121928
business,3.321928
business,2.251629
business,2.521641
business,3.121928
business,2.75
business,3.121928
business,3.121928
business,3.121928
business,3.321928
business,3.121928
business,3.321928
business,3.121928
business,3.121928
business,3.121928
business,2.251629
business,2.503258
business,3.321928
business,3.121928
business,2.521641
business,3.321928
business,3.169925
business,3
business,1
business,3.321928
business,2.584963
business,2.75
business,3.121928
business,2.5
business,3.121928
business,2.5
business,3.321928
business,3.121928
business,2.521641
business,2.75
business,2.405639
business,2.584963
business,3.121928
business,2.584963
business,2.807355
business,2.75
business,3.121928
business,3.121928
business,3.121928
business,2.5
business,2.947703
business,2.321928
business,2.75
business,2.503258
business,1.792481
business,3.121928
business,1.918296
business,3.121928
business,3.121928
business,3.121928
business,3.121928
business,3.121928
business,2.931209
business,2.725481
business,3.121928
business,3.169925
business,3.321928
business,2.947703
business,3.121928
business,1.584963
business,3.121928
business,3.121928
business,3.321928
business,2.807355
business,2.75
business,3.321928
business,2.947703
business,1.918296
business,2.75
business,2.584963
business,3.321928
business,1.251629
business,3.321928
business,2.75
business,2.521641
business,3.121928
business,2.75
business,3.121928
business,3.321928
business,2.25
business,3.121928
business,3.121928
business,3.321928
business,3.321928
business,2.155639
business,2.725481
business,3.121928
business,2.503258
business,2.251629
business,3.321928
business,2.584963
business,3
business,3.121928
business,3.169925
business,2.251629
business,3.121928
business,3.321928
business,3.321928
business,2.251629
business,3.321928
business,2.251629
business,3.027169
business,2.521641
business,2.155639
business,3
business,2.235926
business,3.277613
business,2.725481
business,3.321928
business,3.121928
business,3.121928
business,3.121928
business,3.321928
business,3.121928
business,3.321928
business,3.321928
business,2.235926
business,2.584963
business,3.121928
business,3.121928
business,2.807355
business,2.947703
business,2.5
